id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24993470,Pat's Paradise  at Rockaway Beach,187870198,Patricia,Queens,Rockaway Beach,40.58542,-73.81791,Private room,53,30,104,2024-07-15,1.33,2,84,1,
24996332,Master Bedroom with Full Bath & Manhattan View,129743937,Win,Queens,East Elmhurst,40.758,-73.86991,Private room,78,1,553,2024-10-18,7.02,2,124,53,OSE-STRREG-0001781
25004276,1 sunny bedroom in Parkchester,189022543,Anne,Bronx,Parkchester,40.83718,-73.85631,Private room,,30,6,2018-11-01,0.08,1,0,0,
25006193,Barclays Place - An Idyllic One Bedroom Apartment,189036764,Shravan,Brooklyn,Boerum Hill,40.68386,-73.9788,Entire home/apt,,30,0,,,1,0,0,
25007110,Private Cozy Room-Comfy Bed-Mattress-New Kitchen,79651295,Minee,Queens,Jamaica,40.67695,-73.78901,Private room,48,30,58,2023-05-22,1.06,5,159,0,
25012767,Private Cozy Bedroom with Patio,161659518,A,Manhattan,Kips Bay,40.7434,-73.97963,Private room,,30,3,2018-07-31,0.04,1,0,0,
25029794,East Village gem,17145227,Ola,Manhattan,East Village,40.7261,-73.98855,Entire home/apt,,30,4,2019-10-20,0.05,1,0,0,
25029982,Cozy Studio in Greenwich Village,4246574,Andrea,Manhattan,SoHo,40.7276,-74.0021,Entire home/apt,,30,0,,,1,0,0,
25031182,Comfy bedroom in heart of Lower East Side,2830216,Andrew,Manhattan,Lower East Side,40.71776,-73.99164,Private room,,30,8,2018-11-17,0.10,1,0,0,
25031840,Rustic/Luxury Rooftop Cottage,37178114,Steven,Manhattan,Gramercy,40.73329,-73.98647,Entire home/apt,1358,30,18,2024-08-12,0.23,1,360,1,
25033659,Brooklyn Hidden Oasis.,64542737,Ana,Brooklyn,East New York,40.67214203206526,-73.87629753640638,Entire home/apt,176,5,55,2024-10-26,0.70,1,304,17,OSE-STRREG-0001793
25033991,Pack Yoga Mat & Tennis Racket-Lg Bklyn Apt by Park,189249070,Ness,Brooklyn,Bedford-Stuyvesant,40.68173,-73.93768,Entire home/apt,379,30,46,2024-08-13,0.59,2,165,1,
25042316,Nikki and Hank welcome you to our guest suite!,112142263,Hank,Brooklyn,Canarsie,40.63628239028152,-73.91491934027046,Entire home/apt,130,1,709,2024-10-28,9.11,1,59,100,OSE-STRREG-0000055
25054951,NO LONGER AVAILABLE SORY,70120241,Darren,Manhattan,Upper West Side,40.79483,-73.96385,Entire home/apt,,59,0,,,1,0,0,
25056252,Sunny Brooklyn apartment,189432700,David,Brooklyn,Bushwick,40.69661,-73.91036,Private room,,200,0,,,1,0,0,
25056684,Spacious Studio in the Hamilton Heights,129823499,Waleed,Manhattan,Harlem,40.82037,-73.95474,Entire home/apt,,30,0,,,1,0,0,
25057198,Entire True Two-Bedroom Steps From Central Park!,16205855,Ali,Manhattan,Upper West Side,40.79178,-73.97397,Entire home/apt,,30,0,,,1,0,0,
25069823,Riverside Drive Condo with a View,69866875,Georgina,Manhattan,Harlem,40.83323,-73.9496,Private room,,30,0,,,1,0,0,
25071113,"Airy, art-filled home in bohemian East Village",104921994,Sunhwa,Manhattan,East Village,40.72639,-73.98351,Entire home/apt,195,31,28,2024-09-16,0.36,1,359,6,
25071168,Spacious Guest Suite in Park Slope Brownstone,150440720,Bruce,Brooklyn,Park Slope,40.67397,-73.97733,Private room,250,30,243,2023-12-03,3.10,1,365,3,
25076765,Spacious Master Bedroom in Williamsburg,168180986,Evan,Brooklyn,Williamsburg,40.71899,-73.94336,Private room,,30,8,2018-12-25,0.10,1,0,0,
25082817,Kingz Apartment,130354635,Khurshid,Brooklyn,Sheepshead Bay,40.59697,-73.95177,Entire home/apt,,30,0,,,1,179,0,
25097211,Private Bedroom in a safe neighborhood in NYC,28229044,Bruno,Queens,Astoria,40.76845,-73.92301,Private room,,30,0,,,1,0,0,
25108878,Bushwick Garden Apartment,32361189,Raymond And Kymme,Brooklyn,Bushwick,40.68341,-73.9084,Private room,95,30,214,2023-11-17,2.74,1,175,2,
25112819,Sugar Hill Duplex Apartment,12104046,Paula,Manhattan,Harlem,40.83023,-73.9421,Entire home/apt,,30,80,2024-08-31,1.02,2,142,1,
25124293,Stylish One-Bedroom Apartment in Park Slope,1546476,Janet,Brooklyn,Park Slope,40.67646,-73.98163,Entire home/apt,,30,15,2020-03-08,0.19,1,0,0,
25125914,Stunning Renovation & Private Garden,16437254,Benjamin,Brooklyn,Bedford-Stuyvesant,40.68333,-73.95833,Entire home/apt,280,30,13,2024-09-15,0.17,17,263,4,
25132414,Charming Apartment for Rent in Bed-Stuy,81087558,Eric V,Brooklyn,Bedford-Stuyvesant,40.68535614013672,-73.94156646728516,Private room,85,30,4,2022-09-06,0.05,1,232,0,
25134311,*UES* Condo 2 bedroom + washer/dryer in unit,189962349,Camille,Manhattan,East Harlem,40.78484,-73.94756,Entire home/apt,185,30,73,2023-12-06,0.93,2,269,1,
25135206,Stunning Three-Level Loft w/ Roofdeck & Gym,945063,Mike,Brooklyn,Williamsburg,40.71821,-73.95141,Entire home/apt,,30,0,,,1,0,0,
25135607,"Quiet, sunny Greenpoint apartment perfect for 4",31612339,Julia,Brooklyn,Greenpoint,40.73821,-73.95288,Entire home/apt,,30,6,2018-08-29,0.08,1,0,0,
25137887,Beach front Dublex near jfk,187383058,John,Queens,Arverne,40.58783,-73.79603,Entire home/apt,1129,30,39,2019-10-15,0.50,2,364,0,
25138149,✅Luxury NYC Manhattan Loft✅,3129460,Feliz,Manhattan,East Harlem,40.79492,-73.94023,Entire home/apt,290,30,49,2023-09-30,0.63,1,365,0,
25138975,Charming Sunny 2-bedroom oasis in Rockaway Beach,81754218,Yaffa,Queens,Rockaway Beach,40.58614,-73.8164,Entire home/apt,,30,36,2019-11-26,0.46,1,0,0,
25140559,LOVELY ROOM  CLOSE TO MANHATTAN,45416627,Lolita,Queens,Astoria,40.7696,-73.92498,Private room,48,30,107,2024-09-24,1.36,9,361,2,
25140787,COUSY PRIVATE ROOM,45416627,Lolita,Queens,Astoria,40.7677,-73.92275,Private room,46,30,87,2023-09-11,1.11,9,350,0,
25141552,Private cozy room  in Ditmas Park best loc,40636399,Rivka,Brooklyn,Midwood,40.6305,-73.96639,Private room,58,30,34,2020-09-29,0.43,2,365,0,
25155302,Spacious Flatbush Studio,46200692,Kathryn,Brooklyn,East Flatbush,40.6529,-73.95151,Entire home/apt,,30,8,2018-11-11,0.10,1,0,0,
25157160,"Helles, charmantes Zimmer in Brooklyn-WG",4876817,Kitti,Brooklyn,Crown Heights,40.67566,-73.95331,Private room,,30,1,2018-06-12,0.01,1,0,0,
25163519,BRIGHT newly renovated 1BR  in Manhattan,40875021,Scott,Manhattan,East Harlem,40.79384,-73.93365,Entire home/apt,170,30,60,2023-10-18,0.76,4,365,0,
25167819,The Consuello2,148130354,George,Brooklyn,Bedford-Stuyvesant,40.68607,-73.9243,Entire home/apt,,30,11,2018-12-31,0.14,2,0,0,
25168678,Cozy Room Near Lincoln Center,22029264,Yangbing,Manhattan,Upper West Side,40.77434,-73.98757,Private room,,30,0,,,1,0,0,
25180572,Beautiful Cozy Studio Apt. UWS,119609345,Rien,Manhattan,Upper West Side,40.77831,-73.97538,Entire home/apt,,30,0,,,1,0,0,
25182363,First floor #7,151084261,Frank,Brooklyn,Greenpoint,40.71917,-73.9497,Private room,80,30,14,2023-12-16,0.18,8,331,1,
25183213,Beautiful Studio Apartment in Lower East Side,14722881,Tumay,Manhattan,Chinatown,40.71675,-73.99039,Entire home/apt,,30,8,2020-02-13,0.10,1,0,0,
25187461,Sunny Apartment @ Luxury Bldg in FiDi!,96712147,Eva,Manhattan,Financial District,40.70502,-74.00749,Entire home/apt,,30,7,2019-03-10,0.09,2,0,0,
25187576,Bathroom + One Bedroom Between JFK & LGA,23479368,Karan,Queens,South Ozone Park,40.67425725191574,-73.81915423240892,Private room,49,30,151,2023-10-04,1.94,2,76,0,
25188424,Tranquil BKLYN apt. with your own Garden,3261533,Lina,Brooklyn,Bedford-Stuyvesant,40.68091,-73.94887,Entire home/apt,130,30,10,2024-07-01,0.13,3,117,3,
25193004,Cozy apartment near the park and subway,6387541,Julia,Brooklyn,Flatbush,40.65058,-73.96199,Entire home/apt,109,30,23,2024-06-04,0.30,2,96,2,
25205768,Spacious 1-bedroom apartment with beautiful views!,15560695,Sam,Manhattan,Hell's Kitchen,40.75711,-73.99161,Entire home/apt,,30,3,2019-01-01,0.04,1,0,0,
25206790,Heart of bay ridge Brooklyn,41762539,Maria,Brooklyn,Fort Hamilton,40.62121,-74.0305,Entire home/apt,,30,0,,,1,0,0,
25212748,Modern private bed & bath next to Barclays Center,1798193,Justine,Brooklyn,Prospect Heights,40.6824,-73.97253,Private room,,30,48,2020-02-14,0.61,2,0,0,
25226807,"Beautiful, spacious loft in Clinton Hill",8250822,Sabrina,Brooklyn,Clinton Hill,40.69197,-73.96093,Entire home/apt,,30,17,2022-08-27,0.22,1,0,0,
25227326,Adorable Top Floor Williamsburg Apt (1 Bedroom),75452286,Sarah,Brooklyn,Williamsburg,40.71957,-73.95963,Entire home/apt,,30,18,2019-10-15,0.23,1,0,0,
25231230,"Clean, quiet, close to Columbia and transit.",190629348,Xinhua,Manhattan,Upper West Side,40.80255,-73.96325,Private room,,30,7,2018-08-30,0.09,1,0,0,
25232008,Entire Apt At the entrance of Central Park/6th Ave,47100454,Val,Manhattan,Midtown,40.76395,-73.97526,Entire home/apt,164,60,1,2019-08-30,0.02,1,177,0,
25234732,"Gorgeous, charming upper east side one bedroom",1497427,Mara,Manhattan,Upper East Side,40.77403,-73.95058,Entire home/apt,140,30,17,2023-03-31,0.22,2,364,0,
25235760,Location Astoria Park ( only female ),3250450,Petya,Queens,Astoria,40.77221,-73.92885,Private room,43,30,1,2018-06-30,0.01,18,361,0,
25251220,"Very Quiet 'nd Safe, overlooking backyard gardens",133123832,Parmenides,Manhattan,Upper West Side,40.78645,-73.97054,Entire home/apt,135,30,4,2024-09-30,0.06,4,333,1,
25255024,"Private Garden Apartment in Pelham Gardens, Bronx",159495469,Keren J,Bronx,Pelham Gardens,40.86673,-73.84074,Entire home/apt,120,30,156,2024-10-11,2.01,1,139,4,
25257884,SemiFurnished 3BR apt near Columbia University W/D,9293730,Inna,Manhattan,Morningside Heights,40.814278,-73.960258,Entire home/apt,119,90,2,2021-02-24,0.04,46,235,0,
